task_id,variant,seed,pass,error_type,fail_reason,gen_latency_ms,exec_latency_ms,tokens_in,tokens_out,timestamp
HumanEval/0,baseline,1,1,Other,,1102,1102,35.0,69.0,2025-12-01 09:10:33
HumanEval/1,baseline,1,0,Other,1 failed in 0.04s,1102,1102,56.0,120.0,2025-12-01 09:10:40
HumanEval/10,baseline,1,0,Other,1 error in 0.16s,1202,1202,60.0,116.0,2025-12-01 09:10:48
HumanEval/100,baseline,1,0,Timeout,TimeoutError: Execution exceeded limit,12013,12014,64.0,89.0,2025-12-01 09:11:06
HumanEval/101,baseline,1,0,Other,1 failed in 0.04s,1202,1202,45.0,63.0,2025-12-01 09:11:11
HumanEval/102,baseline,1,1,Other,,1102,1102,37.0,80.0,2025-12-01 09:11:19
HumanEval/103,baseline,1,0,Other,1 failed in 0.04s,1102,1102,53.0,92.0,2025-12-01 09:11:27
HumanEval/104,baseline,1,0,Other,1 failed in 0.04s,1102,1102,36.0,64.0,2025-12-01 09:11:33
HumanEval/105,baseline,1,0,Other,1 error in 0.16s,1202,1202,102.0,97.0,2025-12-01 09:11:41
HumanEval/106,baseline,1,1,Other,,1102,1102,63.0,81.0,2025-12-01 09:11:49
HumanEval/107,baseline,1,0,Other,1 error in 0.16s,1202,1202,81.0,99.0,2025-12-01 09:11:57
HumanEval/108,baseline,1,0,Other,1 failed in 0.04s,1102,1102,50.0,66.0,2025-12-01 09:12:03
HumanEval/109,baseline,1,0,Other,1 error in 0.16s,1202,1202,142.0,124.0,2025-12-01 09:12:11
HumanEval/11,baseline,1,1,Other,,1101,1102,33.0,74.0,2025-12-01 09:12:19
HumanEval/110,baseline,1,0,Other,1 error in 0.16s,1202,1202,87.0,116.0,2025-12-01 09:12:27
HumanEval/111,baseline,1,0,Other,1 failed in 0.04s,1102,1102,60.0,100.0,2025-12-01 09:12:34
HumanEval/112,baseline,1,0,Other,1 error in 0.16s,1202,1202,77.0,123.0,2025-12-01 09:12:42
HumanEval/113,baseline,1,0,Other,1 error in 0.15s,1202,1202,75.0,103.0,2025-12-01 09:12:51
HumanEval/114,baseline,1,0,Other,1 failed in 0.04s,1102,1102,26.0,64.0,2025-12-01 09:12:57
HumanEval/115,baseline,1,0,Other,1 error in 0.16s,1202,1202,113.0,89.0,2025-12-01 09:13:05
HumanEval/116,baseline,1,0,Other,1 error in 0.16s,1302,1302,60.0,99.0,2025-12-01 09:13:13
HumanEval/117,baseline,1,0,Other,1 error in 0.16s,1202,1202,80.0,119.0,2025-12-01 09:13:22
HumanEval/118,baseline,1,0,Other,1 failed in 0.04s,1101,1102,57.0,40.0,2025-12-01 09:13:26
HumanEval/119,baseline,1,0,Other,1 error in 0.16s,1202,1202,79.0,110.0,2025-12-01 09:13:35
HumanEval/12,baseline,1,1,Other,,1102,1102,42.0,58.0,2025-12-01 09:13:40
HumanEval/120,baseline,1,0,Other,1 error in 0.16s,1202,1202,85.0,102.0,2025-12-01 09:13:48
HumanEval/121,baseline,1,1,Other,,1102,1102,32.0,81.0,2025-12-01 09:13:55
HumanEval/122,baseline,1,0,Other,1 error in 0.16s,1202,1202,48.0,74.0,2025-12-01 09:14:03
HumanEval/123,baseline,1,0,Other,1 error in 0.16s,1202,1202,109.0,122.0,2025-12-01 09:14:11
HumanEval/124,baseline,1,0,Other,1 error in 0.16s,1202,1202,105.0,103.0,2025-12-01 09:14:19
HumanEval/125,baseline,1,0,Other,1 error in 0.17s,1202,1202,54.0,112.0,2025-12-01 09:14:27
HumanEval/126,baseline,1,0,Other,1 error in 0.16s,1202,1202,76.0,83.0,2025-12-01 09:14:35
HumanEval/127,baseline,1,0,Other,1 error in 0.16s,1202,1202,109.0,113.0,2025-12-01 09:14:44
HumanEval/128,baseline,1,1,Other,,1102,1102,48.0,81.0,2025-12-01 09:14:52
HumanEval/129,baseline,1,0,Other,1 failed in 0.04s,1102,1102,191.0,67.0,2025-12-01 09:14:58
HumanEval/13,baseline,1,1,Other,,1102,1102,21.0,30.0,2025-12-01 09:15:02
HumanEval/130,baseline,1,0,Other,1 error in 0.16s,1202,1202,96.0,107.0,2025-12-01 09:15:10
HumanEval/131,baseline,1,1,Other,,1102,1102,25.0,52.0,2025-12-01 09:15:15
HumanEval/132,baseline,1,0,Other,1 error in 0.16s,1202,1202,47.0,92.0,2025-12-01 09:15:23
HumanEval/133,baseline,1,1,Other,,1102,1102,61.0,69.0,2025-12-01 09:15:30
HumanEval/134,baseline,1,0,Other,1 error in 0.16s,1202,1202,47.0,103.0,2025-12-01 09:15:38
HumanEval/135,baseline,1,0,Other,1 failed in 0.04s,1102,1102,38.0,86.0,2025-12-01 09:15:45
HumanEval/136,baseline,1,0,Other,1 error in 0.17s,1302,1302,47.0,98.0,2025-12-01 09:15:53
HumanEval/137,baseline,1,0,Other,1 failed in 0.04s,1102,1102,52.0,75.0,2025-12-01 09:16:01
HumanEval/138,baseline,1,0,Other,1 error in 0.16s,1202,1202,23.0,99.0,2025-12-01 09:16:09
HumanEval/139,baseline,1,0,Other,1 failed in 0.04s,1102,1102,35.0,47.0,2025-12-01 09:16:14
HumanEval/14,baseline,1,0,Other,1 failed in 0.04s,1101,1102,22.0,26.0,2025-12-01 09:16:17
HumanEval/140,baseline,1,1,Other,,1101,1102,37.0,56.0,2025-12-01 09:16:22
HumanEval/141,baseline,1,0,Other,1 error in 0.17s,1202,1202,95.0,107.0,2025-12-01 09:16:30
HumanEval/142,baseline,1,0,Other,1 error in 0.16s,1202,1202,85.0,132.0,2025-12-01 09:16:38
HumanEval/143,baseline,1,0,Other,1 error in 0.16s,1202,1202,71.0,125.0,2025-12-01 09:16:46
HumanEval/144,baseline,1,1,Other,,1102,1102,68.0,36.0,2025-12-01 09:16:51
HumanEval/145,baseline,1,0,Other,1 error in 0.11s,1202,1202,48.0,81.0,2025-12-01 09:16:58
HumanEval/146,baseline,1,1,Other,,1102,1102,46.0,71.0,2025-12-01 09:17:07
HumanEval/147,baseline,1,0,Other,1 error in 0.16s,1202,1203,71.0,118.0,2025-12-01 09:17:15
HumanEval/148,baseline,1,0,Other,1 error in 0.16s,1202,1202,83.0,102.0,2025-12-01 09:17:23
HumanEval/149,baseline,1,0,Other,1 error in 0.16s,1202,1202,95.0,129.0,2025-12-01 09:17:31
HumanEval/15,baseline,1,0,Other,1 failed in 0.04s,1102,1102,23.0,28.0,2025-12-01 09:17:37
HumanEval/150,baseline,1,1,Other,,1102,1102,32.0,95.0,2025-12-01 09:17:45
HumanEval/151,baseline,1,0,Other,1 failed in 0.04s,1102,1102,49.0,66.0,2025-12-01 09:17:50
HumanEval/152,baseline,1,0,Other,1 error in 0.16s,1202,1202,89.0,103.0,2025-12-01 09:17:59
HumanEval/153,baseline,1,0,Other,1 error in 0.16s,1302,1302,119.0,119.0,2025-12-01 09:18:07
HumanEval/154,baseline,1,0,Other,1 failed in 0.04s,1101,1102,37.0,77.0,2025-12-01 09:18:15
HumanEval/155,baseline,1,0,Other,1 error in 0.16s,1202,1202,21.0,105.0,2025-12-01 09:18:23
HumanEval/156,baseline,1,0,Other,1 error in 0.16s,1202,1202,30.0,76.0,2025-12-01 09:18:31
HumanEval/157,baseline,1,0,Other,1 error in 0.16s,1202,1202,42.0,97.0,2025-12-01 09:18:40
HumanEval/158,baseline,1,1,Other,,1101,1102,45.0,110.0,2025-12-01 09:18:48
HumanEval/159,baseline,1,0,Other,1 error in 0.16s,1202,1202,124.0,113.0,2025-12-01 09:18:56
HumanEval/16,baseline,1,1,Other,,1102,1102,22.0,51.0,2025-12-01 09:19:02
HumanEval/160,baseline,1,0,Other,1 error in 0.16s,1202,1202,100.0,129.0,2025-12-01 09:19:11
HumanEval/161,baseline,1,1,Other,,1101,1102,43.0,71.0,2025-12-01 09:19:19
HumanEval/162,baseline,1,1,Other,,1102,1102,20.0,27.0,2025-12-01 09:19:25
HumanEval/163,baseline,1,0,Other,1 failed in 0.04s,1102,1102,33.0,82.0,2025-12-01 09:19:33
HumanEval/17,baseline,1,0,Other,1 error in 0.16s,1202,1202,73.0,116.0,2025-12-01 09:19:41
HumanEval/18,baseline,1,1,Other,,1102,1102,29.0,47.0,2025-12-01 09:19:46
HumanEval/19,baseline,1,0,Other,1 error in 0.16s,1202,1202,40.0,96.0,2025-12-01 09:19:55
HumanEval/2,baseline,1,1,Other,,1102,1102,34.0,56.0,2025-12-01 09:19:59
HumanEval/20,baseline,1,0,Other,1 error in 0.16s,1202,1202,47.0,86.0,2025-12-01 09:20:07
HumanEval/21,baseline,1,1,Other,,1101,1102,39.0,72.0,2025-12-01 09:20:14
HumanEval/22,baseline,1,1,Other,,1102,1102,28.0,35.0,2025-12-01 09:20:18
HumanEval/23,baseline,1,1,Other,,1102,1102,13.0,15.0,2025-12-01 09:20:21
HumanEval/24,baseline,1,1,Other,,1101,1102,19.0,71.0,2025-12-01 09:20:27
HumanEval/25,baseline,1,1,Other,,1102,1102,53.0,100.0,2025-12-01 09:20:35
HumanEval/26,baseline,1,1,Other,,1102,1102,33.0,72.0,2025-12-01 09:20:40
HumanEval/27,baseline,1,0,Other,1 failed in 0.04s,1102,1102,17.0,25.0,2025-12-01 09:20:43
HumanEval/28,baseline,1,1,Other,,1101,1102,20.0,22.0,2025-12-01 09:20:46
HumanEval/29,baseline,1,1,Other,,1101,1102,30.0,36.0,2025-12-01 09:20:50
HumanEval/3,baseline,1,1,Other,,1102,1102,53.0,66.0,2025-12-01 09:20:55
HumanEval/30,baseline,1,1,Other,,1102,1102,29.0,42.0,2025-12-01 09:21:00
HumanEval/31,baseline,1,1,Other,,1101,1102,26.0,69.0,2025-12-01 09:21:06
HumanEval/32,baseline,1,0,Other,1 error in 0.15s,1202,1202,100.0,99.0,2025-12-01 09:21:14
HumanEval/33,baseline,1,0,Other,1 error in 0.16s,1202,1202,59.0,106.0,2025-12-01 09:21:22
HumanEval/34,baseline,1,1,Other,,1102,1102,20.0,28.0,2025-12-01 09:21:26
HumanEval/35,baseline,1,1,Other,,1102,1102,21.0,29.0,2025-12-01 09:21:30
HumanEval/36,baseline,1,1,Other,,1101,1102,26.0,50.0,2025-12-01 09:21:34
HumanEval/37,baseline,1,0,Other,1 failed in 0.04s,1102,1102,47.0,100.0,2025-12-01 09:21:42
HumanEval/38,baseline,1,0,Other,1 error in 0.15s,1202,1202,66.0,111.0,2025-12-01 09:21:51
HumanEval/39,baseline,1,0,Other,1 error in 0.16s,1202,1202,25.0,88.0,2025-12-01 09:21:59
HumanEval/4,baseline,1,0,Other,1 error in 0.16s,1202,1202,46.0,84.0,2025-12-01 09:22:07
HumanEval/40,baseline,1,1,Other,,1101,1102,47.0,77.0,2025-12-01 09:22:14
HumanEval/41,baseline,1,0,Other,1 error in 0.16s,1202,1202,82.0,124.0,2025-12-01 09:22:23
HumanEval/42,baseline,1,0,Other,1 error in 0.15s,1202,1202,28.0,84.0,2025-12-01 09:22:31
HumanEval/43,baseline,1,1,Other,,1102,1102,46.0,64.0,2025-12-01 09:22:37
HumanEval/44,baseline,1,1,Other,,1102,1102,29.0,60.0,2025-12-01 09:22:44
HumanEval/45,baseline,1,0,Other,1 failed in 0.04s,1102,1102,15.0,40.0,2025-12-01 09:22:48
HumanEval/46,baseline,1,0,Other,1 error in 0.16s,1202,1202,53.0,86.0,2025-12-01 09:22:56
HumanEval/47,baseline,1,1,Other,,1101,1102,20.0,75.0,2025-12-01 09:23:04
HumanEval/48,baseline,1,1,Other,,1102,1102,18.0,46.0,2025-12-01 09:23:10
HumanEval/49,baseline,1,0,Other,1 failed in 0.04s,1102,1102,26.0,79.0,2025-12-01 09:23:19
HumanEval/5,baseline,1,1,Other,,1102,1103,30.0,43.0,2025-12-01 09:23:23
HumanEval/50,baseline,1,0,Other,1 failed in 0.04s,1102,1102,36.0,46.0,2025-12-01 09:23:28
HumanEval/51,baseline,1,1,Other,,1102,1102,26.0,49.0,2025-12-01 09:23:35
HumanEval/52,baseline,1,1,Other,,1102,1102,25.0,36.0,2025-12-01 09:23:39
HumanEval/53,baseline,1,1,Other,,1102,1102,15.0,19.0,2025-12-01 09:23:42
HumanEval/54,baseline,1,1,Other,,1102,1102,29.0,33.0,2025-12-01 09:23:50
HumanEval/55,baseline,1,1,Other,,1102,1102,13.0,39.0,2025-12-01 09:23:54
HumanEval/56,baseline,1,1,Other,,1102,1102,27.0,69.0,2025-12-01 09:24:01
HumanEval/57,baseline,1,1,Other,,1102,1102,24.0,50.0,2025-12-01 09:24:06
HumanEval/58,baseline,1,1,Other,,1101,1102,31.0,69.0,2025-12-01 09:24:14
HumanEval/59,baseline,1,0,Other,1 failed in 0.04s,1102,1102,19.0,53.0,2025-12-01 09:24:22
HumanEval/6,baseline,1,0,Other,1 error in 0.16s,1202,1202,46.0,115.0,2025-12-01 09:24:30
HumanEval/60,baseline,1,1,Other,,1102,1102,23.0,26.0,2025-12-01 09:24:34
HumanEval/61,baseline,1,1,Other,,1102,1102,27.0,66.0,2025-12-01 09:24:42
HumanEval/62,baseline,1,1,Other,,1101,1102,36.0,46.0,2025-12-01 09:24:50
HumanEval/63,baseline,1,0,Other,1 error in 0.16s,1202,1202,46.0,93.0,2025-12-01 09:24:58
HumanEval/64,baseline,1,0,Other,1 error in 0.16s,1202,1202,52.0,109.0,2025-12-01 09:25:06
HumanEval/65,baseline,1,0,Other,1 failed in 0.04s,1102,1102,32.0,86.0,2025-12-01 09:25:14
HumanEval/66,baseline,1,1,Other,,1102,1102,33.0,39.0,2025-12-01 09:25:19
HumanEval/67,baseline,1,0,Other,1 error in 0.16s,1202,1202,99.0,118.0,2025-12-01 09:25:27
HumanEval/68,baseline,1,0,Other,1 error in 0.17s,1202,1202,138.0,116.0,2025-12-01 09:25:36
HumanEval/69,baseline,1,0,Other,1 error in 0.17s,1202,1203,66.0,119.0,2025-12-01 09:25:44
HumanEval/7,baseline,1,1,Other,,1101,1102,29.0,37.0,2025-12-01 09:25:48
HumanEval/70,baseline,1,1,Other,,1102,1102,43.0,98.0,2025-12-01 09:25:56
HumanEval/71,baseline,1,1,Other,,1102,1102,52.0,111.0,2025-12-01 09:26:04
HumanEval/72,baseline,1,0,Other,1 error in 0.16s,1202,1202,90.0,106.0,2025-12-01 09:26:12
HumanEval/73,baseline,1,1,Other,,1102,1102,56.0,92.0,2025-12-01 09:26:20
HumanEval/74,baseline,1,0,Other,1 error in 0.16s,1202,1202,67.0,96.0,2025-12-01 09:26:28
HumanEval/75,baseline,1,0,Other,1 failed in 0.04s,1102,1102,31.0,113.0,2025-12-01 09:26:36
HumanEval/76,baseline,1,0,Other,1 error in 0.16s,1202,1202,49.0,103.0,2025-12-01 09:26:44
HumanEval/77,baseline,1,1,Other,,1102,1102,40.0,55.0,2025-12-01 09:26:49
HumanEval/78,baseline,1,0,Other,1 error in 0.16s,1202,1202,126.0,109.0,2025-12-01 09:26:57
HumanEval/79,baseline,1,0,Other,1 error in 0.16s,1202,1202,63.0,101.0,2025-12-01 09:27:06
HumanEval/8,baseline,1,1,Other,,1102,1102,47.0,76.0,2025-12-01 09:27:12
HumanEval/80,baseline,1,0,Other,1 failed in 0.04s,1101,1102,45.0,80.0,2025-12-01 09:27:20
HumanEval/81,baseline,1,0,Other,1 error in 0.17s,1202,1202,97.0,97.0,2025-12-01 09:27:28
HumanEval/82,baseline,1,1,Other,,1101,1102,28.0,82.0,2025-12-01 09:27:36
HumanEval/83,baseline,1,0,Other,1 failed in 0.04s,1102,1102,19.0,84.0,2025-12-01 09:27:44
HumanEval/84,baseline,1,1,Other,,1102,1102,62.0,116.0,2025-12-01 09:27:52
HumanEval/85,baseline,1,1,Other,,1102,1102,19.0,60.0,2025-12-01 09:27:59
HumanEval/86,baseline,1,0,Other,1 failed in 0.04s,1102,1102,58.0,106.0,2025-12-01 09:28:07
HumanEval/87,baseline,1,0,Other,1 error in 0.16s,1202,1203,89.0,91.0,2025-12-01 09:28:15
HumanEval/88,baseline,1,0,Other,1 error in 0.16s,1302,1302,78.0,105.0,2025-12-01 09:28:23
HumanEval/89,baseline,1,0,Other,1 error in 0.16s,1202,1202,44.0,112.0,2025-12-01 09:28:31
HumanEval/9,baseline,1,1,Other,,1101,1102,36.0,55.0,2025-12-01 09:28:37
HumanEval/90,baseline,1,1,Other,,1102,1102,40.0,90.0,2025-12-01 09:28:45
HumanEval/91,baseline,1,0,Other,1 failed in 0.04s,1102,1102,46.0,89.0,2025-12-01 09:28:53
HumanEval/92,baseline,1,1,Other,,1102,1102,46.0,90.0,2025-12-01 09:29:00
HumanEval/93,baseline,1,0,Other,1 error in 0.16s,1202,1202,46.0,99.0,2025-12-01 09:29:08
HumanEval/94,baseline,1,0,Other,1 error in 0.16s,1302,1302,61.0,46.0,2025-12-01 09:29:16
HumanEval/95,baseline,1,0,Other,1 failed in 0.04s,1102,1102,53.0,70.0,2025-12-01 09:29:24
HumanEval/96,baseline,1,0,Other,1 error in 0.16s,1202,1202,36.0,86.0,2025-12-01 09:29:32
HumanEval/97,baseline,1,1,Other,,1101,1102,34.0,57.0,2025-12-01 09:29:38
HumanEval/98,baseline,1,1,Other,,1101,1102,21.0,71.0,2025-12-01 09:29:46
HumanEval/99,baseline,1,0,Other,1 error in 0.16s,1302,1303,63.0,106.0,2025-12-01 09:29:54
